antiguedad_anios,salario_k,horas_extra_mes,satisfaccion,se_fue
9,25,37,0.51,1
5,79,5,0.82,0
7,71,37,0.34,1
10,44,19,0.22,0
10,70,2,0.09,0
1,69,5,0.78,0
0,38,28,0.94,0
13,64,22,0.18,1
12,68,14,0.67,0
5,82,26,0.22,1
10,41,26,0.26,1
4,80,16,0.3,0
8,53,37,0.49,1
6,38,17,0.1,1
10,24,20,0.85,0
9,20,39,0.33,1
8,62,36,0.81,1
11,21,34,0.93,0
6,38,28,0.6,1
1,83,39,0.77,1
7,53,28,0.15,1
2,35,15,0.41,0
0,86,26,0.08,1
2,55,38,0.21,1
9,43,36,0.78,1
10,61,20,0.27,0
14,86,0,0.58,0
4,20,37,0.99,0
6,89,18,0.94,0
3,50,2,0.33,0
1,44,27,0.92,0
1,56,10,0.79,0
9,84,7,0.38,0
9,22,18,0.83,0
6,55,2,0.36,0
3,54,14,0.63,0
2,67,32,0.1,1
12,42,15,0.66,0
7,70,36,0.06,1
10,88,31,0.58,1
2,24,8,0.94,0
13,53,21,0.03,1
12,74,32,0.73,0
0,39,11,0.58,0
7,42,33,0.46,1
5,29,0,0.61,0
11,22,18,0.84,0
13,22,6,0.66,0
1,44,22,0.45,0
0,78,9,0.2,0
1,22,2,0.42,0
3,78,21,0.34,1
12,53,10,0.27,0
5,66,30,0.14,1
6,46,39,0.92,0
4,43,33,0.58,1
11,86,12,0.26,1
13,75,25,0.31,1
1,69,6,0.52,0
4,78,21,0.35,1
3,79,6,0.78,0
4,21,21,0.77,0
13,88,2,0.38,0
5,67,2,0.26,0
1,77,28,0.87,0
6,64,24,0.71,0
8,89,2,0.64,0
3,79,30,0.17,1
4,23,21,0.02,1
5,23,4,0.64,0
4,75,22,0.86,0
5,79,7,0.68,0
0,33,25,0.33,1
13,35,36,0.39,1
10,59,31,0.23,1
14,62,0,0.01,0
0,61,8,0.76,0
0,63,14,0.23,1
5,81,13,0.75,0
7,79,4,0.81,0
8,42,27,0.03,1
8,40,37,0.41,1
14,55,23,0.91,0
14,54,14,0.44,0
12,72,12,0.25,0
7,42,2,0.1,0
7,66,4,0.98,0
12,24,3,0.64,0
12,45,39,1.0,0
13,88,24,0.81,0
5,43,5,0.42,0
13,44,22,0.83,0
0,51,7,0.7,0
11,75,33,0.75,1
3,63,23,0.89,0
0,84,15,0.89,0
0,40,16,0.25,0
1,26,14,0.32,1
4,48,26,0.17,1
9,29,33,0.32,1
7,47,38,0.86,0
1,36,11,0.13,0
5,45,3,0.64,0
4,55,29,0.94,0
7,40,23,0.67,0
5,63,21,0.16,0
7,78,28,0.7,1
5,85,28,0.91,0
3,49,27,0.21,1
3,59,5,0.41,0
12,50,13,0.09,0
8,74,9,0.28,1
6,40,2,0.25,0
3,84,36,0.9,0
3,86,6,0.39,0
9,59,22,0.18,0
8,79,28,0.17,1
4,45,1,0.59,0
8,30,26,0.28,1
6,80,38,0.6,1
9,81,32,0.37,1
8,60,13,0.98,0
10,51,6,0.65,0
12,47,23,0.5,1
6,31,23,0.65,0
13,66,26,0.23,1
2,83,31,0.65,0
6,44,27,0.58,0
13,73,24,0.72,0
12,29,17,0.24,1
9,55,28,0.3,1
11,50,32,0.09,1
1,59,0,0.57,0
12,66,39,0.27,1
3,26,6,0.18,1
2,32,38,0.78,0
6,30,34,0.4,0
13,89,17,0.47,0
9,46,33,0.24,1
4,34,1,0.39,0
14,72,22,0.84,0
14,37,4,0.84,0
3,73,10,0.3,0
10,40,25,0.93,0
10,54,37,0.77,0
10,69,27,0.07,1
13,68,26,0.32,1
6,23,30,0.92,0
5,60,12,0.24,0
2,26,29,0.37,1
10,23,33,0.81,1
10,43,32,0.43,1
2,72,11,0.82,0
13,68,26,0.84,0
6,70,4,0.96,0
1,50,29,0.46,1
4,45,26,0.56,0
4,79,16,0.27,1
5,36,26,0.75,0
5,44,33,0.8,0
4,88,30,0.22,1
11,54,16,0.06,1
11,44,32,0.69,1
7,81,27,0.22,1
8,66,24,0.58,0
9,36,18,0.28,1
11,38,4,0.47,0
1,43,2,0.53,0
5,64,37,0.49,1
1,75,37,0.53,1
4,21,15,0.37,1
9,73,7,0.14,1
4,25,39,0.84,1
9,72,15,0.86,0
3,78,16,1.0,0
1,78,29,0.06,1
10,86,9,0.82,0
14,86,1,0.2,0
13,57,0,0.52,0
0,56,29,0.01,1
2,34,39,0.15,1
8,81,27,0.24,1
0,52,11,0.16,1
7,52,27,0.61,1
0,28,39,0.26,1
13,45,6,0.18,0
0,21,1,0.11,1
10,29,13,0.61,0
7,83,13,0.43,1
8,68,3,0.54,0
11,39,26,0.24,1
6,68,39,0.83,0
5,68,21,0.2,1
5,54,15,0.61,0
6,76,6,0.93,0
4,30,34,0.74,0
13,66,17,0.88,0
10,74,5,0.84,0
13,43,15,0.2,0
3,36,24,0.0,1
1,41,1,0.42,0
14,49,29,0.7,1
3,25,20,0.14,1
6,44,8,0.36,0
14,71,1,0.29,1
11,40,33,0.11,1
11,78,4,0.01,0
9,81,14,0.91,0
13,84,15,0.96,0
3,24,18,0.9,0
12,49,8,0.96,0
9,25,28,0.86,0
6,81,32,0.02,1
2,27,38,0.34,1
7,81,10,0.28,0
1,58,7,0.93,0
10,84,39,0.51,1
10,50,17,0.65,0
10,84,34,0.36,1
0,73,30,0.93,0
8,55,14,0.97,0
13,62,38,0.6,1
0,59,39,0.3,1
12,56,23,0.24,1
14,59,27,0.26,1
5,56,2,0.94,0
5,46,0,0.23,0
14,36,6,0.87,0
0,87,32,0.17,1
10,44,30,0.59,1
9,23,32,0.52,1
11,67,14,0.54,0
8,40,34,0.62,0
3,75,12,0.87,0
9,88,37,0.52,1
8,67,32,0.63,0
11,22,10,0.48,0
2,54,0,0.88,0
1,33,6,0.46,0
2,65,35,0.86,0
13,71,13,0.67,0
12,50,14,0.42,1
11,40,20,0.47,0
2,37,33,0.04,1
3,34,34,0.32,1
2,83,22,0.42,0
8,66,4,0.59,0
2,65,10,0.0,1
13,42,37,0.79,0
6,30,32,0.32,1
6,31,7,0.1,0
5,44,38,0.54,1
10,59,29,0.15,1
13,54,28,0.71,0
11,83,39,0.24,1
1,79,7,0.69,0
12,85,35,1.0,1
1,87,20,0.5,1
7,68,39,0.01,1
0,71,16,0.17,1
9,33,21,0.33,1
7,35,0,0.52,0
8,57,18,0.76,0
3,89,38,0.53,1
6,51,37,0.79,0
1,21,17,0.19,1
3,42,31,0.25,1
4,34,9,0.25,1
6,23,12,0.37,0
3,27,19,0.57,0
6,44,13,0.26,1
3,85,12,0.84,0
3,29,32,0.06,1
0,23,32,0.22,1
0,21,28,0.67,0
5,48,15,0.08,1
7,88,1,0.57,0
14,21,22,0.87,0
8,89,33,0.43,1
9,67,17,0.37,0
13,30,21,0.67,0
3,40,21,0.87,0
8,54,4,0.01,1
12,74,23,0.29,1
5,70,9,0.03,0
4,49,2,0.14,0
0,41,10,0.5,0
8,82,36,0.68,1
1,48,26,0.24,1
12,44,3,0.95,0
3,72,38,0.56,1
11,30,36,0.22,1
6,81,15,0.86,0
9,73,11,0.54,0
2,63,11,0.56,0
10,29,36,0.14,1
12,67,3,0.91,0
14,54,22,0.91,0
0,29,27,0.91,0
9,37,24,0.55,1
8,56,21,0.82,0
6,26,3,0.14,0
10,44,6,0.15,1
6,33,39,0.68,1
4,52,1,0.78,0
3,42,28,0.95,0
8,36,8,0.41,0
10,47,13,0.07,1
11,53,30,0.39,1
12,20,5,0.22,0
11,36,28,0.66,0
3,31,20,0.65,0
2,38,25,0.03,1
5,78,25,0.66,0
10,69,12,0.75,0
6,75,3,0.69,0
13,27,20,1.0,0
3,59,11,0.46,1
1,40,23,0.82,0
10,67,10,0.38,0
5,44,24,0.78,0
10,49,39,0.79,0
13,30,16,0.75,0
0,55,16,0.37,0
3,31,2,0.3,0
11,35,16,0.35,1
2,53,22,0.07,1
14,49,4,0.64,0
13,53,10,0.28,0
12,87,36,0.74,1
10,21,38,0.7,1
6,42,37,0.01,1
5,41,31,0.82,1
1,33,24,0.94,0
14,60,4,0.28,0
0,86,0,0.8,0
12,80,36,0.38,1
9,71,27,0.84,0
8,58,8,0.37,0
11,68,34,0.62,1
12,87,24,0.22,1
10,31,24,0.18,1
8,21,26,0.51,0
4,33,30,0.86,0
8,53,13,0.38,0
0,45,3,0.99,0
4,46,4,0.14,0
10,82,4,0.84,0
9,79,16,0.05,1
4,42,12,0.08,1
0,83,5,0.05,1
3,80,1,0.4,0
11,52,3,0.46,0
1,35,8,0.55,0
12,47,8,0.04,1
11,83,18,0.81,0
2,63,5,0.43,0
9,37,35,0.93,0
4,26,8,0.98,0
2,63,20,0.88,0
3,23,33,0.34,1
10,59,5,0.06,0
0,82,6,0.12,0
1,81,1,0.76,0
5,70,9,0.62,0
11,21,30,0.9,0
6,37,39,0.37,1
13,74,9,0.46,0
11,61,34,0.15,1
12,77,31,0.96,0
12,23,7,0.94,0
14,89,13,0.82,0
8,47,14,0.56,0
9,73,28,0.08,1
3,62,18,0.02,1
13,71,25,0.02,1
11,68,22,0.11,1
2,82,6,0.45,0
1,61,32,0.42,1
9,20,34,0.89,0
11,30,13,0.63,0
13,86,30,0.43,1
4,85,24,0.11,1
3,44,24,0.01,1
14,76,33,0.98,0
13,22,22,0.46,1
4,32,14,0.47,0
14,22,12,0.97,0
4,36,17,0.9,0
14,79,6,0.85,0
13,83,8,0.07,1
9,39,26,0.7,0
3,29,5,0.3,0
9,79,19,0.38,1
13,76,9,0.34,0
14,86,32,0.02,1
0,83,26,0.57,1
14,37,8,0.77,0
14,60,10,0.45,0
5,42,10,0.41,0
12,87,26,0.82,1
11,84,1,0.31,0
6,29,8,0.75,0
13,36,32,0.35,1
12,62,31,0.23,1
2,71,37,0.58,1
13,34,26,0.96,0
9,61,16,0.56,0
12,62,34,0.97,0
14,85,27,0.49,1
2,79,28,0.35,1
12,84,27,0.4,1
0,21,37,0.64,0
4,80,5,0.11,0
6,77,32,0.05,1
9,68,2,0.16,0
14,57,12,0.86,0
13,26,29,0.82,0
7,52,15,0.48,1
9,72,13,0.54,0
6,23,30,0.61,0
0,56,13,0.46,0
5,42,20,0.2,0
1,58,27,0.75,1
9,74,38,0.82,0
14,21,24,0.86,0
13,27,16,0.03,1
4,20,19,0.95,0
12,22,11,0.12,1
0,63,17,0.71,0
0,26,29,0.97,0
11,37,33,0.87,0
5,53,33,0.53,1
4,63,7,0.07,0
0,63,4,0.49,0
0,78,31,0.37,1
5,24,7,0.16,0
11,56,7,0.36,0
1,72,8,0.13,1
13,27,24,0.11,1
1,73,11,0.44,1
13,55,10,0.93,0
10,29,27,0.06,1
7,30,37,0.27,1
4,80,27,0.92,0
13,66,31,0.31,1
4,56,9,0.64,0
2,49,34,0.81,1
9,21,28,0.05,1
13,44,5,0.21,1
6,48,39,0.7,1
9,50,1,0.16,0
3,66,9,0.35,0
12,33,27,0.98,0
2,56,35,0.08,1
10,40,35,0.87,0
0,66,7,0.21,1
3,58,1,0.13,1
14,23,34,0.9,0
12,26,25,0.44,1
7,79,34,0.53,0
6,27,6,0.1,1
7,71,35,0.28,1
7,42,27,0.45,1
7,72,15,0.85,0
7,58,26,0.08,1
10,79,2,0.2,0
7,60,11,0.98,0
14,46,21,0.95,0
12,56,27,0.87,0
3,53,35,0.5,0
14,51,25,0.45,1
0,20,14,0.21,1
14,40,17,0.85,0
7,32,2,0.51,0
4,87,28,0.24,1
10,64,6,0.75,0
5,50,38,0.08,1
6,60,34,0.83,1
9,62,28,0.23,1
3,44,28,0.68,1
2,27,31,0.43,1
7,50,14,0.44,0
10,77,13,0.93,0
11,73,13,0.46,0
2,67,29,0.55,0
6,71,3,0.39,0
12,44,37,0.28,1
14,57,14,0.35,0
11,54,3,0.74,0
8,62,10,0.65,0
3,78,34,0.06,1
7,83,24,0.9,0
11,69,1,0.1,0
1,21,4,0.21,0
1,39,7,0.63,0
8,71,18,0.4,0
13,20,26,0.18,1
1,77,15,0.55,0
2,72,17,0.34,1
1,84,20,0.83,0
3,70,20,0.96,0
12,45,1,0.01,1
5,47,38,0.19,1
12,49,27,0.02,1
1,72,12,0.92,0
7,63,25,0.83,0
4,72,16,0.63,0
3,52,6,0.88,0
3,27,38,0.37,1
3,86,13,0.74,0
12,89,1,0.47,0
10,38,30,0.42,0
6,66,16,0.47,1
0,21,23,0.55,0
9,68,31,0.19,1
9,66,38,0.08,1
4,20,30,0.2,1
6,85,14,0.86,0
4,63,23,0.72,0
13,89,13,0.46,0
13,23,0,0.56,0
11,22,25,0.41,0
4,47,11,0.17,0
5,20,33,0.19,1
5,64,37,0.61,1
9,46,16,0.34,0
2,22,27,0.9,0
1,57,15,0.65,0
1,87,8,0.75,0
0,46,20,0.93,0
13,52,13,0.13,1
11,22,36,0.07,1
4,56,7,0.63,1
9,67,1,0.86,0
14,36,21,0.82,0
5,48,30,0.67,1
6,42,26,0.21,1
10,66,14,0.58,0
2,28,3,0.76,0
13,23,2,0.01,1
5,78,16,0.69,0
3,65,3,0.36,0
0,65,22,0.29,1
7,68,10,0.81,0
5,29,38,0.26,1
1,80,38,0.03,1
7,27,8,0.26,0
4,81,35,0.36,1
14,89,38,0.56,1
4,32,18,0.2,0
1,88,16,0.54,0
8,43,1,0.41,0
4,66,9,0.17,0
12,82,29,0.8,0
0,84,6,0.46,0
0,63,16,0.79,0
6,85,31,0.78,0
4,27,24,0.94,0
14,77,14,0.92,0
1,50,32,0.91,0
11,63,13,0.5,0
1,68,3,0.62,0
6,43,24,0.42,1
6,52,3,0.04,0
14,38,2,0.39,0
3,76,13,0.74,0
9,71,19,0.44,0
12,52,33,0.21,1
8,31,33,0.93,0
7,69,32,0.09,1
3,56,1,0.89,0
4,73,38,0.28,1
9,57,22,0.35,1
7,47,8,0.01,1
2,35,0,0.05,1
4,37,36,0.92,1
2,67,0,0.11,0
12,43,28,0.31,1
0,32,3,0.71,0
0,50,20,0.33,1
9,24,36,0.36,1
9,89,37,0.35,1
11,57,31,0.62,1
0,70,28,0.56,0
6,85,2,0.72,0
6,78,22,0.92,0
8,35,3,0.64,0
7,27,32,0.34,1
13,31,22,0.41,1
1,88,10,0.55,0
9,24,3,0.92,0
11,29,28,0.48,1
2,54,37,0.1,1
6,29,39,0.5,1
8,48,18,0.07,0
11,55,22,0.79,0
5,35,11,0.08,1
4,56,11,0.72,0
